Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
ESGI,ESGI,ESGI,ESGI,ESGI,ESGI
DJRE,DJRE,DJRE,DJRE,DJRE,DJRE
CRED,CRED,CRED,CRED,CRED,CRED
FEMX,FEMX,FEMX,FEMX,FEMX,FEMX
ETHI,ETHI,ETHI,ETHI,ETHI,ETHI
VEU,VEU,VEU,VEU,VEU,VEU
REIT,REIT,REIT,REIT,REIT,REIT
ETPMAG,ETPMAG,ETPMAG,ETPMAG,ETPMAG,ETPMAG
GEAR,GEAR,GEAR,GEAR,GEAR,GEAR
BEAR,BEAR,BEAR,BEAR,BEAR,BEAR
CNEW,CNEW,CNEW,CNEW,CNEW,CNEW
IEM,IEM,IEM,IEM,IEM,IEM
FUEL,FUEL,FUEL,FUEL,FUEL,FUEL
IEU,IEU,IEU,IEU,IEU,IEU
VGE,VGE,VGE,VGE,VGE,VGE
QRE,QRE,QRE,QRE,QRE,QRE
EX20,EX20,EX20,EX20,EX20,EX20
EMMG,EMMG,EMMG,EMMG,EMMG,EMMG
RENT,RENT,RENT,RENT,RENT,RENT
IHEB,IHEB,IHEB,IHEB,IHEB,IHEB
VEQ,VEQ,VEQ,VEQ,VEQ,VEQ
CORE,CORE,CORE,CORE,CORE,CORE
VAE,VAE,VAE,VAE,VAE,VAE
WEMG,WEMG,WEMG,WEMG,WEMG,WEMG
MVE,MVE,MVE,MVE,MVE,MVE
IVE,IVE,IVE,IVE,IVE,IVE
HEUR,HEUR,HEUR,HEUR,HEUR,HEUR
EMKT,EMKT,EMKT,EMKT,EMKT,EMKT
EINC,EINC,EINC,EINC,EINC,EINC
ESTX,ESTX,ESTX,ESTX,ESTX,ESTX
TECH,TECH,TECH,TECH,TECH,TECH
ETPMPT,ETPMPT,ETPMPT,ETPMPT,ETPMPT,ETPMPT
ETF,ETF,ETF,ETF,ETF,ETF
INES,INES,INES,INES,INES,INES
ETPMPM,ETPMPM,ETPMPM,ETPMPM,ETPMPM,ETPMPM
EEU,EEU,EEU,EEU,EEU,EEU
CETF,CETF,CETF,CETF,CETF,CETF
EIGA,EIGA,EIGA,EIGA,EIGA,EIGA
UBE,UBE,UBE,UBE,UBE,UBE
DE000A0D8Q23,DE000A0D8Q23,DE000A0D8Q23,DE000A0D8Q23,DE000A0D8Q23,DE000A0D8Q23
DE000ETFL029,DE000ETFL029,DE000ETFL029,DE000ETFL029,DE000ETFL029,DE000ETFL029
IE00B1YZSC51,IE00B1YZSC51,IE00B1YZSC51,IE00B1YZSC51,IE00B1YZSC51,IE00B1YZSC51
IE00B4M7GH52,IE00B4M7GH52,IE00B4M7GH52,IE00B4M7GH52,IE00B4M7GH52,IE00B4M7GH52
DE000A0D8Q07,DE000A0D8Q07,DE000A0D8Q07,DE000A0D8Q07,DE000A0D8Q07,DE000A0D8Q07
DE000A0F5UF5,DE000A0F5UF5,DE000A0F5UF5,DE000A0F5UF5,DE000A0F5UF5,DE000A0F5UF5
IE00B53L4X51,IE00B53L4X51,IE00B53L4X51,IE00B53L4X51,IE00B53L4X51,IE00B53L4X51
IE0031442068,IE0031442068,IE0031442068,IE0031442068,IE0031442068,IE0031442068
DE0005933972,DE0005933972,DE0005933972,DE0005933972,DE0005933972,DE0005933972
